Transition,Frequency (%)
Restaurant-Inform -> Restaurant-Inform,29.648437500000004
Restaurant-Inform -> Restaurant-Request,20.703125
Restaurant-Request -> Restaurant-Request,3.046875
Restaurant-Request -> Restaurant-Inform,18.5546875
Restaurant-Inform -> Restaurant-Select,3.5937499999999996
Restaurant-Select -> Restaurant-Inform,2.8125
Restaurant-Inform -> Restaurant-Recommend,4.453125
Restaurant-Recommend -> Restaurant-Request,1.9921874999999998
Restaurant-Inform -> Restaurant-NoOffer,4.1015625
Restaurant-NoOffer -> Restaurant-Inform,3.90625
Restaurant-NoOffer -> Restaurant-Request,0.1953125
Restaurant-Select -> Restaurant-Recommend,0.2734375
Restaurant-Recommend -> Restaurant-Inform,3.7890624999999996
Restaurant-Request -> Restaurant-Select,0.3125
Restaurant-Select -> Restaurant-Request,0.625
Restaurant-Request -> Restaurant-Recommend,1.6796875
Restaurant-NoOffer -> Restaurant-NoOffer,0.078125
Restaurant-Recommend -> Restaurant-Select,0.0390625
Restaurant-NoOffer -> Restaurant-Recommend,0.0390625
Restaurant-Request -> Restaurant-NoOffer,0.078125
Restaurant-Select -> Restaurant-NoOffer,0.0390625
Restaurant-Recommend -> Restaurant-Recommend,0.0390625
